15	14
14	5
3	1
1	17
22	5
10	15
22	1
12	13
7	14
20	22
3	14
3	14
15	16
2	8
7	12
2	22
9	23
10	3
29	9
12	6
16	15
24	15
18	20
22	8
15	18
5	21
19	20
17	14
2	8
19	15
8	22
5	1
7	16
23	27
22	11
7	21
22	15
5	6
15	22
1	16
22	26
11	13
27	24
22	1
2	20
8	24
6	22
5	1
8	3
1	12
13	2
8	5
2	1
1	15
10	11
1	16
7	22
16	18
13	12
2	13
10	8
5	19
22	23
6	5
9	13
15	7
2	1
16	2
13	9
8	1
8	18
27	12
25	17
22	1
12	28
2	22
11	2
15	1
8	6
6	5
24	21
22	8
2	23
2	8
1	17
20	1
22	2
3	20
4	7
2	9
14	26
24	10
10	29
8	1
3	17
3	4
28	19
2	10
11	22
1	19
